#l;m;n;k;Gflops
1;1000;1000;1000;2.51e+01
1;2000;2000;2000;2.60e+01
1;3000;3000;3000;2.69e+01
1;4000;4000;4000;2.67e+01
1;5000;5000;5000;2.71e+01
