#l;m;n;k;Gflops
1;1000;1000;1000;2.33e+01
1;2000;2000;2000;2.38e+01
1;3000;3000;3000;2.40e+01
1;4000;4000;4000;2.38e+01
1;5000;5000;5000;2.40e+01
