#Layer;BLIS;FAMILY+BLIS;FAMILY;FAMILY+EXO
#l;Gflops;Gflops;Gflops;Gflops
1;2.33e+01;2.43e+01;2.51e+01;2.63e+01
1;2.38e+01;2.32e+01;2.60e+01;2.70e+01
1;2.40e+01;2.37e+01;2.69e+01;2.73e+01
1;2.38e+01;2.37e+01;2.67e+01;2.67e+01
1;2.40e+01;2.42e+01;2.71e+01;2.73e+01
