#Layer;BLIS;FAMILY+BLIS;FAMILY;FAMILY+EXO
#l;Gflops;Gflops;Gflops;Gflops
1;1.32e+01;1.18e+01;1.32e+01;1.43e+01
3;1.63e+01;1.28e+01;1.47e+01;1.37e+01
6;2.14e+01;2.11e+01;1.82e+01;2.14e+01
8;2.13e+01;2.13e+01;1.83e+01;2.14e+01
11;2.63e+01;2.53e+01;2.46e+01;2.60e+01
13;2.60e+01;2.54e+01;2.53e+01;2.61e+01
18;2.75e+01;2.63e+01;2.71e+01;2.66e+01
20;2.73e+01;2.64e+01;2.73e+01;2.68e+01
25;2.47e+01;2.44e+01;2.50e+01;2.51e+01
