#l;m;n;k;Gflops
1;50176;64;27;1.32e+01
3;50176;64;576;1.47e+01
6;12544;128;576;1.82e+01
8;12544;128;1152;1.83e+01
11;3136;256;1152;2.46e+01
13;3136;256;2304;2.53e+01
18;784;512;2304;2.71e+01
20;784;512;4608;2.73e+01
25;196;512;4608;2.50e+01
