#l;m;n;k;Gflops
1;1000;1000;1000;2.43e+01
1;2000;2000;2000;2.32e+01
1;3000;3000;3000;2.37e+01
1;4000;4000;4000;2.37e+01
1;5000;5000;5000;2.42e+01
