#layer	m	n	k	Flops
1	50176	64	27	173408256
2	50176	64	576	3699376128
3	12544	128	576	1849688064
4	12544	128	1152	3699376128
5	3136	256	1152	1849688064
6	3136	256	2304	3699376128
7	784	512	2304	1849688064
8	784	512	4608	3699376128
9	196	512	4608	924844032
